policy_number,bank_name,routing_number,account_number,account_type,effective_date,org_code
AIL0000001,MURPHY-BARTLETT,123425640,1500186829,CHECKING,2012-05-15,ail
AIL0000002,SHAW-SMITH,893260250,8312603168,SAVINGS,2024-04-03,ail
AIL0000003,JOHNSON-HILL,606257674,2042086420,SAVINGS,2019-10-30,ail
AIL0000004,SANDERS-FORBES,711421299,2682482133,SAVINGS,2010-12-14,ail
AIL0000005,"KING, GARRETT AND MADDOX",108454944,9585752886,CHECKING,2022-06-14,ail
AIL0000006,ROY GROUP,623445398,7011581434,SAVINGS,2021-04-24,ail
AIL0000007,"CHEN, HENRY AND WELLS",349006937,4067853612,CHECKING,2015-09-29,ail
AIL0000008,"CHRISTENSEN, AGUIRRE AND JOHNSON",553123931,7770600848,CHECKING,2018-08-24,ail
AIL0000009,SALAZAR LTD,387600528,3032971126,SAVINGS,2018-05-26,ail
AIL0000010,THORNTON AND SONS,768615479,6784307829,SAVINGS,2024-02-17,ail
AIL0000011,MILLER INC,122341268,5987889148,CHECKING,2014-04-13,ail
AIL0000012,RAMOS LTD,603843081,6771780593,CHECKING,2010-09-20,ail
AIL0000013,EDWARDS PLC,645069951,8116581001,CHECKING,2007-02-03,ail
AIL0000014,LUCERO-LEE,415029454,6184921425,CHECKING,2018-02-26,ail
AIL0000015,"MCLAUGHLIN, COOK AND POWERS",816246415,3073995755,CHECKING,2021-10-30,ail
AIL0000016,HURST-JACKSON,314194552,3113921661,SAVINGS,2012-11-20,ail
AIL0000017,"BOWEN, DIAZ AND SMITH",630133267,2304174972,CHECKING,2023-12-18,ail
AIL0000018,"POWELL, MONROE AND CALDWELL",697892214,5372837607,SAVINGS,2017-08-01,ail
AIL0000019,LEE PLC,483372937,3907383020,CHECKING,2020-07-21,ail
AIL0000020,DANIEL INC,989003129,3162425423,CHECKING,2012-11-15,ail
AIL0000021,RAMOS LLC,462639932,2849500820,CHECKING,2005-09-09,ail
AIL0000022,"GONZALEZ, WAGNER AND THOMPSON",229587788,3413691946,SAVINGS,2008-07-13,ail
