policy_number,ssn,first_name,last_name,dob,gender,policy_type,policy_status,issue_date,face_amount,org_code
AIL0000001,123-45-6789,DANIELLE,JOHNSON,1961-02-13,U,ENDOWMENT,ACTIVE,2012-05-15,55772.88,ail
AIL0000002,123-45-6789,DANIELLE,JOHNSON,1961-02-13,U,ENDOWMENT,ACTIVE,2024-04-03,59750.55,ail
AIL0000003,100-00-0002,JOSHUA,WALKER,1970-12-26,M,TERM_10,ACTIVE,2019-10-30,21318.03,ail
AIL0000004,100-00-0005,JILL,RHODES,1993-01-13,M,WHOLE_LIFE,LAPSED,2010-12-14,21267.59,ail
AIL0000005,100-00-0007,PATRICIA,MILLER,1963-11-25,U,ENDOWMENT,ACTIVE,2022-06-14,100529.52,ail
AIL0000006,100-00-0012,ROBERT,JOHNSON,1961-06-04,M,WHOLE_LIFE,ACTIVE,2021-04-24,460326.07,ail
AIL0000007,100-00-0012,ROBERT,JOHNSON,1961-06-04,M,UNIVERSAL_LIFE,ACTIVE,2015-09-29,242627.36,ail
AIL0000008,100-00-0016,JEFFERY,WAGNER,1969-10-22,M,ENDOWMENT,ACTIVE,2018-08-24,41313.64,ail
AIL0000009,100-00-0017,ANTHONY,GONZALEZ,1987-01-02,M,UNIVERSAL_LIFE,ACTIVE,2018-05-26,458979.55,ail
AIL0000010,100-00-0022,DEBRA,GARDNER,1968-12-01,U,UNIVERSAL_LIFE,CANCELLED,2024-02-17,544167.98,ail
AIL0000011,100-00-0022,DEBRA,GARDNER,1968-12-01,U,WHOLE_LIFE,ACTIVE,2014-04-13,113096.77,ail
AIL0000012,100-00-0027,JEFFREY,LAWRENCE,1978-10-26,M,UNIVERSAL_LIFE,ACTIVE,2010-09-20,118143.70,ail
AIL0000013,100-00-0032,LISA,SMITH,1986-06-07,F,TERM_10,ACTIVE,2007-02-03,209656.44,ail
AIL0000014,100-00-0032,LISA,SMITH,1986-06-07,F,UNIVERSAL_LIFE,ACTIVE,2018-02-26,512336.68,ail
AIL0000015,100-00-0036,LINDA,WOLFE,1994-01-14,M,TERM_20,ACTIVE,2021-10-30,286809.21,ail
AIL0000016,100-00-0036,LINDA,WOLFE,1994-01-14,M,UNIVERSAL_LIFE,ACTIVE,2012-11-20,25779.19,ail
AIL0000017,100-00-0037,MATTHEW,MOORE,1975-04-06,F,ENDOWMENT,ACTIVE,2023-12-18,473512.21,ail
AIL0000018,100-00-0041,SUSAN,ROGERS,1969-08-28,F,WHOLE_LIFE,ACTIVE,2017-08-01,522714.66,ail
AIL0000019,100-00-0043,CHRISTOPHER,DAVIS,1964-02-28,F,TERM_20,CANCELLED,2020-07-21,81158.13,ail
AIL0000020,100-00-0043,CHRISTOPHER,DAVIS,1964-02-28,F,UNIVERSAL_LIFE,ACTIVE,2012-11-15,21814.06,ail
AIL0000021,100-00-0044,MELANIE,MUNOZ,1976-02-07,F,UNIVERSAL_LIFE,ACTIVE,2005-09-09,27461.12,ail
AIL0000022,100-00-0044,MELANIE,MUNOZ,1976-02-07,F,ENDOWMENT,ACTIVE,2008-07-13,92465.49,ail
AIL0000023,,LINDSAY,BLAIR,1971-11-12,M,WHOLE_LIFE,ACTIVE,2008-06-28,55088.72,ail
AIL0000024,100-00-0045,LINDSAY,BLAIR,1971-11-12,M,TERM_20,ACTIVE,2019-11-06,248566.17,ail
AIL0000025,100-00-0050,AMANDA,DUDLEY,1984-01-20,M,ENDOWMENT,ACTIVE,2012-09-28,211088.98,ail
AIL0000026,100-00-0054,NICHOLAS,ARNOLD,1963-07-15,U,WHOLE_LIFE,ACTIVE,2006-01-08,47905.27,ail
