policy_number,address_type,street1,street2,city,state,zip,effective_date,org_code
LNL0000001,MAILING,884 JOHN PINE,,WEST TARA,OH,17322,2025-01-29,lnl
LNL0000002,MAILING,0737 VINCENT HOLLOW,,KEVINFURT,IA,67015,2020-09-25,lnl
LNL0000003,HOME,258 CALVIN VILLAGE APT. 073,,EAST SHAWNLAND,SD,69269,2016-09-29,lnl
LNL0000004,MAILING,093 TRICIA MEADOWS,,CRAWFORDTOWN,HI,16961,2005-08-29,lnl
LNL0000005,MAILING,0039 ALLISON TRACE,,ROBERTSTOWN,NM,18350,2010-06-03,lnl
LNL0000006,HOME,9583 BLANCHARD GREENS,,AUDREYBERG,HI,67667,2017-08-05,lnl
LNL0000007,HOME,649 MENDOZA POINT APT. 043,,TIMOTHYLAND,HI,88887,2005-11-26,lnl
LNL0000008,HOME,5656 NICOLE LANDING APT. 028,,EAST ALLISONBURY,NH,61403,2022-02-03,lnl
LNL0000009,HOME,259 HANNAH CAUSEWAY SUITE 892,,JILLFORT,WY,61723,2018-08-14,lnl
LNL0000010,HOME,6855 JANE CORNERS APT. 362,,NEW DAVID,IA,93854,2025-07-25,lnl
LNL0000011,HOME,20017 LEWIS GREENS SUITE 580,,CHUNGBURY,HI,86013,2021-03-15,lnl
LNL0000012,HOME,2927 VAZQUEZ DALE SUITE 772,,CARLSONCHESTER,NH,90498,2024-01-12,lnl
LNL0000013,MAILING,717 TAMMIE SPRING SUITE 315,,HARPERPORT,NM,02021,2024-12-25,lnl
LNL0000014,HOME,321 LYNN THROUGHWAY,,GRAHAMMOUTH,VI,00544,2023-11-15,lnl
LNL0000015,HOME,40500 BENJAMIN FORGES,,EAST BRIANNABOROUGH,PA,27587,2023-11-11,lnl
LNL0000016,MAILING,4755 ROCHA JUNCTION,,NEW KAREN,IA,38809,2005-01-01,lnl
LNL0000017,MAILING,64552 COOK HOLLOW,,LAKE SHANNONBURGH,WY,84986,2024-09-02,lnl
LNL0000018,MAILING,48915 TINA BURGS SUITE 502,,WONGTOWN,MN,47548,2013-10-28,lnl
LNL0000019,HOME,462 ELIZABETH VILLAGE APT. 171,,BRITTANYVIEW,WY,11191,2005-02-19,lnl
LNL0000020,HOME,30284 JACKSON RUN APT. 553,,NORTH MAURICE,MS,35703,2008-12-23,lnl
