policy_number,bank_name,routing_number,account_number,account_type,effective_date,org_code
LNL0000001,HANSON-BURTON,963034674,6031660294,SAVINGS,2025-01-29,lnl
LNL0000002,SAUNDERS-DELEON,228287508,4480379947,CHECKING,2020-09-25,lnl
LNL0000003,DANIELS-GOMEZ,911904230,9015071404,CHECKING,2016-09-29,lnl
LNL0000004,ZAVALA LLC,550446244,3871505458,SAVINGS,2005-08-29,lnl
LNL0000005,PETERSON-TURNER,808921527,8110352169,CHECKING,2010-06-03,lnl
LNL0000006,MILLER LLC,220163015,3549442683,SAVINGS,2017-08-05,lnl
LNL0000007,BOWEN GROUP,234934992,6176663574,SAVINGS,2005-11-26,lnl
LNL0000008,FERNANDEZ GROUP,341862899,9024973874,CHECKING,2022-02-03,lnl
LNL0000009,FARRELL-AUSTIN,879617764,3236753829,SAVINGS,2018-08-14,lnl
LNL0000010,MCKENZIE LTD,218352808,5401640797,SAVINGS,2025-07-25,lnl
LNL0000011,MORTON-ALLEN,235637694,5396795339,CHECKING,2021-03-15,lnl
LNL0000012,MOORE-WHEELER,397074145,8160090573,CHECKING,2024-01-12,lnl
LNL0000013,LITTLE LLC,731103491,1267461905,CHECKING,2024-12-25,lnl
LNL0000014,CARR PLC,984190646,7757801211,CHECKING,2023-11-15,lnl
LNL0000015,"LEWIS, EVANS AND DAVIS",526012220,7873833302,CHECKING,2023-11-11,lnl
LNL0000016,SERRANO INC,398358549,1891424921,CHECKING,2005-01-01,lnl
LNL0000017,RIVERA LTD,926558738,3854248558,SAVINGS,2024-09-02,lnl
LNL0000018,MERCADO LTD,440576982,8214422526,CHECKING,2013-10-28,lnl
LNL0000019,JONES-CLARK,611589083,9692324203,CHECKING,2005-02-19,lnl
LNL0000020,"ALVAREZ, CASTRO AND BALDWIN",926148362,5555343734,SAVINGS,2008-12-23,lnl
LNL0000021,PHAM INC,821892963,8128276939,CHECKING,2017-06-11,lnl
LNL0000022,FLOWERS-SMITH,916521535,3034194358,CHECKING,2013-11-25,lnl
LNL0000023,"FIGUEROA, GUZMAN AND COLEMAN",274240914,4577302952,SAVINGS,2020-10-16,lnl
LNL0000024,SANDOVAL-GILBERT,709945307,2390001840,SAVINGS,2010-06-26,lnl
LNL0000025,"PHILLIPS, SMITH AND POWERS",323630487,1473554385,SAVINGS,2006-12-07,lnl
LNL0000026,"ANDERSON, HULL AND FOSTER",375831103,6305796325,SAVINGS,2016-05-05,lnl
LNL0000027,"REEVES, WRIGHT AND PRATT",976868880,8738047722,CHECKING,2012-02-27,lnl
LNL0000028,SHORT-FRAZIER,727557121,9272827208,CHECKING,2013-05-25,lnl
LNL0000029,"ROWE, MEDINA AND PHILLIPS",739910249,4753042497,SAVINGS,2015-12-06,lnl
