policy_number,ssn,first_name,last_name,dob,gender,policy_type,policy_status,issue_date,face_amount,org_code
LNL0000001,987-65-4321,RICHARD,GONZALEZ,1977-01-29,M,TERM_10,ACTIVE,2025-01-29,42697.74,lnl
LNL0000002,987-65-4321,RICHARD,GONZALEZ,1977-01-29,M,ENDOWMENT,ACTIVE,2020-09-25,25481.12,lnl
LNL0000003,100-00-0005,HAROLD,WRIGHT,1968-01-08,M,UNIVERSAL_LIFE,ACTIVE,2016-09-29,425667.53,lnl
LNL0000004,100-00-0010,KATHLEEN,KING,1965-12-23,M,UNIVERSAL_LIFE,CANCELLED,2005-08-29,222847.22,lnl
LNL0000005,100-00-0010,KATHLEEN,KING,1965-12-23,M,WHOLE_LIFE,CANCELLED,2010-06-03,597765.49,lnl
LNL0000006,100-00-0010,KATHLEEN,KING,1965-12-23,M,TERM_20,LAPSED,2017-08-05,59302.67,lnl
LNL0000007,100-00-0012,PATRICK,SUTTON,1992-09-13,F,WHOLE_LIFE,ACTIVE,2005-11-26,20150.23,lnl
LNL0000008,100-00-0015,AMANDA,MAYS,1990-09-11,U,TERM_10,LAPSED,2022-02-03,249661.64,lnl
LNL0000009,100-00-0015,AMANDA,MAYS,1990-09-11,U,TERM_10,CANCELLED,2018-08-14,43113.26,lnl
LNL0000010,100-00-0020,TRACY,FISHER,1964-01-11,U,WHOLE_LIFE,LAPSED,2025-07-25,491528.32,lnl
LNL0000011,100-00-0020,TRACY,FISHER,1964-01-11,U,TERM_10,ACTIVE,2021-03-15,23015.87,lnl
LNL0000012,100-00-0020,TRACY,FISHER,1964-01-11,U,TERM_10,ACTIVE,2024-01-12,117528.51,lnl
LNL0000013,,CHRISTIE,ROBINSON,1968-12-12,F,TERM_20,ACTIVE,2024-12-25,53827.70,lnl
LNL0000014,100-00-0029,RACHEL,BROOKS,1986-05-24,M,TERM_20,ACTIVE,2023-11-15,53326.29,lnl
LNL0000015,100-00-0034,PAUL,FLEMING,1996-11-19,F,TERM_20,PENDING,2023-11-11,23891.59,lnl
LNL0000016,100-00-0037,EDWIN,GUERRERO,1966-10-30,F,TERM_20,ACTIVE,2005-01-01,434381.80,lnl
LNL0000017,100-00-0039,MELISSA,MORGAN,1998-02-15,U,TERM_20,ACTIVE,2024-09-02,21594.21,lnl
LNL0000018,100-00-0039,MELISSA,MORGAN,1998-02-15,U,TERM_20,LAPSED,2013-10-28,96043.91,lnl
LNL0000019,100-00-0039,MELISSA,MORGAN,1998-02-15,U,UNIVERSAL_LIFE,ACTIVE,2005-02-19,50938.89,lnl
LNL0000020,100-00-0041,STACEY,RICE,1963-09-21,U,WHOLE_LIFE,ACTIVE,2008-12-23,102671.60,lnl
LNL0000021,100-00-0041,STACEY,RICE,1963-09-21,U,TERM_10,ACTIVE,2017-06-11,430669.68,lnl
LNL0000022,100-00-0044,KIM,HARRISON,1990-05-21,M,TERM_20,PENDING,2013-11-25,110925.94,lnl
LNL0000023,100-00-0044,KIM,HARRISON,1990-05-21,M,TERM_10,LAPSED,2020-10-16,20894.94,lnl
LNL0000024,100-00-0049,RICHARD,ADAMS,1974-03-11,F,WHOLE_LIFE,ACTIVE,2010-06-26,295932.60,lnl
LNL0000025,100-00-0053,ADRIAN,HARRIS,1972-01-31,U,TERM_20,ACTIVE,2006-12-07,237975.72,lnl
LNL0000026,100-00-0053,ADRIAN,HARRIS,1972-01-31,U,UNIVERSAL_LIFE,ACTIVE,2016-05-05,29560.90,lnl
LNL0000027,100-00-0054,VERONICA,FERGUSON,1979-01-27,M,TERM_10,ACTIVE,2012-02-27,109468.73,lnl
LNL0000028,100-00-0054,VERONICA,FERGUSON,1979-01-27,M,UNIVERSAL_LIFE,ACTIVE,2013-05-25,59101.31,lnl
LNL0000029,100-00-0055,STEVEN,MCCULLOUGH,1983-12-20,M,ENDOWMENT,ACTIVE,2015-12-06,519157.46,lnl
LNL0000030,100-00-0055,STEVEN,MCCULLOUGH,1983-12-20,M,UNIVERSAL_LIFE,ACTIVE,2007-03-15,203346.08,lnl
LNL0000031,100-00-0058,CATHERINE,DAVILA,1983-04-07,M,WHOLE_LIFE,LAPSED,2005-04-06,243596.99,lnl
